timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_weekend
08/04/2016 00:00,183,7.5,5.5,84.5,12,2,0
08/04/2016 01:00,151,7,4.5,87,15,1,0
08/04/2016 02:00,60,7,4,84,16,1,0
08/04/2016 03:00,41,6,4,90,9,1,0
08/04/2016 04:00,50,6,3.5,90,13,3,0
08/04/2016 05:00,87,6,4,90,10,4,0
08/04/2016 06:00,525,6.5,4.5,90,9,3,0
08/04/2016 07:00,1749,7,6,87,7,3,0
08/04/2016 08:00,3526,8,7,82,7,3,0
08/04/2016 09:00,1893,9,8,79,7,2,0
08/04/2016 10:00,905,10,8,76,11,3,0
08/04/2016 11:00,947,11.5,11.5,67,10,3,0
08/04/2016 12:00,1212,11.5,11.5,60,7,2,0
08/04/2016 13:00,1306,12,12,58,10,3,0
08/04/2016 14:00,1194,12,12,56,11,3,0
08/04/2016 15:00,1448,13.5,13.5,53,6.5,1,0
08/04/2016 16:00,1801,13.5,13.5,49.5,8,2,0
08/04/2016 17:00,3165,13,13,51,13,2,0
08/04/2016 18:00,2619,12.5,12.5,57,18,1,0
08/04/2016 19:00,1620,11.5,11.5,62.5,17,1,0
08/04/2016 20:00,964,10.5,10,69,11,1,0
08/04/2016 21:00,676,10,8,73.5,13,1,0
08/04/2016 22:00,625,9.5,7.5,71,14,1,0
08/04/2016 23:00,444,9,7,71,14,1,0
09/04/2016 00:00,389,8,5,79,16,1,1
09/04/2016 01:00,266,8,6,82,10,1,1
09/04/2016 02:00,184,8,6,82,12,2,1
09/04/2016 03:00,132,9,6.5,82,15,7,1
09/04/2016 04:00,96,8.5,5.5,84.5,17,7,1
09/04/2016 05:00,57,8.5,5.5,84.5,17,7,1
09/04/2016 06:00,119,8,5,87,18.5,4,1
09/04/2016 07:00,128,8,5,90,16,7,1
09/04/2016 08:00,246,8,5.5,90,15,7,1
09/04/2016 09:00,563,8,6,87,9,3,1
09/04/2016 10:00,1030,9,7,79,15,3,1
09/04/2016 11:00,1367,10.5,9.5,60.5,17,3,1
09/04/2016 12:00,1698,11,11,52.5,15,2,1
09/04/2016 13:00,1938,11.5,11.5,45.5,13,2,1
09/04/2016 14:00,1793,12,12,51,15,3,1
09/04/2016 15:00,1780,11,11,58,20.5,2,1
09/04/2016 16:00,1759,10.5,9,58,21,2,1
09/04/2016 17:00,1672,10,7.5,64.5,17.5,7,1
09/04/2016 18:00,1435,10.5,9,54,23,2,1
09/04/2016 19:00,1062,9.5,6.5,58,23,3,1
09/04/2016 20:00,701,8,4.5,59.5,20.5,2,1
09/04/2016 21:00,466,7,4.5,66,14,1,1
09/04/2016 22:00,407,7,5,71,11,1,1
09/04/2016 23:00,416,6,4,71,9,2,1
10/04/2016 00:00,359,5.5,3.5,73.5,7,1,1
10/04/2016 01:00,313,5,3,76,8,1,1
10/04/2016 02:00,188,5.5,3.5,73.5,8,1,1
10/04/2016 03:00,187,5,4.5,75.5,5,1,1
10/04/2016 04:00,107,3.5,1,81,9,1,1
10/04/2016 05:00,76,3.5,1,81,10,1,1
10/04/2016 06:00,102,3,0,84,9,1,1
10/04/2016 07:00,168,4.5,1.5,78.5,12,1,1
10/04/2016 08:00,348,7.5,5,71,14,1,1
10/04/2016 09:00,808,9.5,6.5,60,22,1,1
10/04/2016 10:00,1354,10.5,9,50.5,23,1,1
10/04/2016 11:00,1961,11.5,11.5,45.5,22,1,1
10/04/2016 12:00,2486,12,12,41,28,1,1
10/04/2016 13:00,2561,11.5,11.5,47,27.5,1,1
10/04/2016 14:00,2445,11,11,52,32,1,1
10/04/2016 15:00,2378,11,11,56,34,1,1
10/04/2016 16:00,2124,10.5,8.5,60,38,1,1
10/04/2016 17:00,1639,10.5,8.5,60,35,1,1
10/04/2016 18:00,1386,10,7,67,30,1,1
10/04/2016 19:00,912,10,6.5,67,30.5,1,1
10/04/2016 20:00,558,9,6,76,24,1,1
10/04/2016 21:00,387,9,6,76,23,1,1
10/04/2016 22:00,367,10,8,76,18,1,1
10/04/2016 23:00,204,10,7,82,20,1,1
11/04/2016 00:00,107,11,11,77,15,7,0
11/04/2016 01:00,70,10,8,82,16,2,0
11/04/2016 02:00,52,10,8,88,17,1,0
11/04/2016 03:00,40,10,7,88,23,1,0
11/04/2016 04:00,43,10,7,85,24,1,0
11/04/2016 05:00,95,10,7.5,82,20.5,1,0
11/04/2016 06:00,587,10.5,9,79.5,23,1,0
11/04/2016 07:00,1925,11,11,77,22,1,0
11/04/2016 08:00,3892,12,12,72,24,1,0
11/04/2016 09:00,1910,12,12,72,24,1,0
11/04/2016 10:00,823,13,13,67,25,1,0
11/04/2016 11:00,846,14,14,65,19.5,2,0
11/04/2016 12:00,1059,14,14,65,17,2,0
11/04/2016 13:00,1073,14,14,67,15,2,0
11/04/2016 14:00,528,14,14,72,14,7,0
11/04/2016 15:00,310,12.5,12.5,82.5,12,7,0
11/04/2016 16:00,832,12,12,88,9,7,0
11/04/2016 17:00,2760,13,13,82,7,3,0
11/04/2016 18:00,2994,13,13,79.5,6.5,3,0
11/04/2016 19:00,1803,13,13,82,7.5,2,0
11/04/2016 20:00,946,12.5,12.5,82,7,3,0
11/04/2016 21:00,621,12,12,79.5,10,2,0
11/04/2016 22:00,449,11,11,88,13,2,0
11/04/2016 23:00,245,11,11,85,14,1,0
12/04/2016 00:00,125,11,11,82,15,7,0
12/04/2016 01:00,88,10,8,88,12,7,0
12/04/2016 02:00,31,10,8,82,15,7,0
12/04/2016 03:00,11,9,7,87,14,7,0
12/04/2016 04:00,25,9,7.5,94,10,7,0
12/04/2016 05:00,87,9,8,90.5,8,7,0
12/04/2016 06:00,650,9,8,87,9,2,0
12/04/2016 07:00,2016,9,8,87,8,2,0
12/04/2016 08:00,4135,10,8,76,14,2,0
12/04/2016 09:00,2065,11.5,11.5,72,14,1,0
12/04/2016 10:00,982,12.5,12.5,61,16,1,0
12/04/2016 11:00,926,14.5,14.5,49.5,15,1,0
12/04/2016 12:00,1231,15.5,15.5,42,14,2,0
12/04/2016 13:00,1286,16,16,40.5,19,2,0
12/04/2016 14:00,1241,16,16,42,18.5,7,0
12/04/2016 15:00,1339,17,17,35.5,17,1,0
12/04/2016 16:00,1898,16.5,16.5,36.5,19.5,2,0
12/04/2016 17:00,3706,16,16,41,13,1,0
12/04/2016 18:00,3842,13.5,13.5,57,12,1,0
12/04/2016 19:00,2116,13,13,61,10,1,0
